question,worker,answer
11,1,151
12,1,135
14,2,153
15,2,131
17,3,153
18,3,131
32,1,109
33,1,104
35,2,111
36,2,100
38,3,113
39,3,102
53,1,169
54,1,145
56,2,169
57,2,147
59,3,169
60,3,147
74,1,151
75,1,135
77,2,153
78,2,138
80,3,153
81,3,140
95,1,153
96,1,140
98,2,151
99,2,138
101,3,153
102,3,136
116,1,160
117,1,145
119,2,160
120,2,145
122,3,156
123,3,144
200,1,144
201,1,135
203,2,145
204,2,135
206,3,145
207,3,133
221,1,156
222,1,144
224,2,158
225,2,142
227,3,160
228,3,144
242,1,165
243,1,154
245,2,163
246,2,151
248,3,160
249,3,154
263,1,163
264,1,149
266,2,163
267,2,147
269,3,163
270,3,147
284,1,151
285,1,138
287,2,151
288,2,133
290,3,151
291,3,131
305,1,172
306,1,162
308,2,172
309,2,162
311,3,172
312,3,162
326,1,129
327,1,117
329,2,131
330,2,117
332,3,127
333,3,115
347,1,144
348,1,133
350,2,145
351,2,138
353,3,147
354,3,140
368,1,147
369,1,129
371,2,145
372,2,133
374,3,147
375,3,136
389,1,145
390,1,133
392,2,144
393,2,133
395,3,145
396,3,135
410,1,144
411,1,131
413,2,145
414,2,135
416,3,145
417,3,135
2,4,154
3,4,129
5,5,156
6,5,129
8,6,156
9,6,135
23,4,111
24,4,97
26,5,111
27,5,95
29,6,109
30,6,95
44,4,167
45,4,144
47,5,167
48,5,145
50,6,169
51,6,145
65,4,151
66,4,138
68,5,153
69,5,144
71,6,156
72,6,136
86,4,154
87,4,136
89,5,158
90,5,135
92,6,156
93,6,144
107,4,154
108,4,144
110,5,154
111,5,144
113,6,156
114,6,145
128,4,156
129,4,144
131,5,158
132,5,140
134,6,154
135,6,142
149,4,138
150,4,122
152,5,140
153,5,126
155,6,142
156,6,122
170,4,142
171,4,131
173,5,147
174,5,133
176,6,145
177,6,131
191,4,147
192,4,131
194,5,145
195,5,133
197,6,149
198,6,136
212,4,158
213,4,138
215,5,158
216,5,142
218,6,160
219,6,142
233,4,172
234,4,154
236,5,172
237,5,153
239,6,167
240,6,153
254,4,163
255,4,147
257,5,162
258,5,149
260,6,162
261,6,147
275,4,149
276,4,129
278,5,153
279,5,133
281,6,151
282,6,135
296,4,169
297,4,160
299,5,167
300,5,162
302,6,167
303,6,162
317,4,131
318,4,111
320,5,136
321,5,111
323,6,135
324,6,106
338,4,145
339,4,131
341,5,149
342,5,135
344,6,144
345,6,131
359,4,147
360,4,135
362,5,145
363,5,138
365,6,154
366,6,127
380,4,145
381,4,126
383,5,149
384,5,131
386,6,149
387,6,135
401,4,147
402,4,133
404,5,149
405,5,135
407,6,145
408,6,131
2,7,153
3,7,132
5,8,151
6,8,134
8,9,152
9,9,136
23,7,110
24,7,102
26,8,111
27,8,98
29,9,104
30,9,98
44,7,163
45,7,143
47,8,163
48,8,146
50,9,164
51,9,147
65,7,154
66,7,136
68,8,148
69,8,141
71,9,148
72,9,138
86,7,148
87,7,138
89,8,150
90,8,137
92,9,149
93,9,139
107,7,153
108,7,145
110,8,154
111,8,145
113,9,153
114,9,144
128,7,154
129,7,148
131,8,157
132,8,145
134,9,158
135,9,143
149,7,136
150,7,124
152,8,137
153,8,122
155,9,140
156,9,125
170,7,142
171,7,134
173,8,144
174,8,136
176,9,143
177,9,135
191,7,140
192,7,133
194,8,142
195,8,133
197,9,146
198,9,132
212,7,157
213,7,143
215,8,158
216,8,144
218,9,159
219,9,145
233,7,169
234,7,159
236,8,168
237,8,153
239,9,168
240,9,155
254,7,164
255,7,148
257,8,164
258,8,150
260,9,161
261,9,149
275,7,150
276,7,132
278,8,149
279,8,139
281,9,152
282,9,139
296,7,172
297,7,159
299,8,170
300,8,164
302,9,170
303,9,164
317,7,133
318,7,118
320,8,129
321,8,114
323,9,129
324,9,117
338,7,146
339,7,132
341,8,145
342,8,136
344,9,142
345,9,130
359,7,144
360,7,131
362,8,142
363,8,136
365,9,146
366,9,130
380,7,144
381,7,129
383,8,144
384,8,133
386,9,140
387,9,134
401,7,144
402,7,131
404,8,142
405,8,133
407,9,142
408,9,127
14,1,151
15,1,131
17,2,151
18,2,135
20,3,151
21,3,129
35,1,109
36,1,100
38,2,113
39,2,102
41,3,102
42,3,97
56,1,169
57,1,147
59,2,169
60,2,145
62,3,169
63,3,147
77,1,154
78,1,138
80,2,154
81,2,140
83,3,153
84,3,135
98,1,154
99,1,136
101,2,154
102,2,135
104,3,154
105,3,133
119,1,158
120,1,144
122,2,160
123,2,144
125,3,162
126,3,144
140,1,156
141,1,144
143,2,160
144,2,145
146,3,162
147,3,145
161,1,142
162,1,127
164,2,144
165,2,127
167,3,142
168,3,129
182,1,144
183,1,133
185,2,144
186,2,133
188,3,145
189,3,133
203,1,145
204,1,135
206,2,149
207,2,133
209,3,149
210,3,133
224,1,158
225,1,144
227,2,160
228,2,144
230,3,158
231,3,142
245,1,165
246,1,151
248,2,162
249,2,156
251,3,165
252,3,153
266,1,162
267,1,145
269,2,163
270,2,145
272,3,163
273,3,145
308,1,172
309,1,162
311,2,172
312,2,162
314,3,172
315,3,162
350,1,149
351,1,140
353,2,151
354,2,138
356,3,142
357,3,129
371,1,147
372,1,133
374,2,147
375,2,135
377,3,144
378,3,127
392,1,145
393,1,133
395,2,147
396,2,135
398,3,144
399,3,129
413,1,147
414,1,136
416,2,147
417,2,131
419,3,140
420,3,126
5,4,156
6,4,131
8,5,160
9,5,131
11,6,156
12,6,129
26,4,111
27,4,91
29,5,109
30,5,93
32,6,111
33,6,95
47,4,169
48,4,145
50,5,171
51,5,144
53,6,169
54,6,145
68,4,154
69,4,142
71,5,158
72,5,138
74,6,158
75,6,138
89,4,156
90,4,138
92,5,160
93,5,142
95,6,158
96,6,138
110,4,154
111,4,142
113,5,153
114,5,145
116,6,158
117,6,144
131,4,156
132,4,140
134,5,158
135,5,140
137,6,158
138,6,140
152,4,136
153,4,122
155,5,142
156,5,124
158,6,142
159,6,122
173,4,147
174,4,133
176,5,144
177,5,131
179,6,142
180,6,129
194,4,145
195,4,131
197,5,145
198,5,135
200,6,147
201,6,133
215,4,160
216,4,142
218,5,160
219,5,142
221,6,160
222,6,138
236,4,171
237,4,153
239,5,171
240,5,153
242,6,169
243,6,149
257,4,158
258,4,151
260,5,162
261,5,149
263,6,160
264,6,142
278,4,154
279,4,135
281,5,153
282,5,133
284,6,151
285,6,126
299,4,169
300,4,162
302,5,169
303,5,162
305,6,167
306,6,160
320,4,135
321,4,111
323,5,140
324,5,113
326,6,135
327,6,104
341,4,147
342,4,136
344,5,147
345,5,127
347,6,151
348,6,135
362,4,151
363,4,133
365,5,153
366,5,135
368,6,151
369,6,131
383,4,147
384,4,133
386,5,153
387,5,136
389,6,147
390,6,124
404,4,147
405,4,131
407,5,149
408,5,126
410,6,149
411,6,136
5,7,153
6,7,133
8,8,154
9,8,135
11,9,152
12,9,134
26,7,108
27,7,94
29,8,107
30,8,95
32,9,102
33,9,96
47,7,164
48,7,142
50,8,165
51,8,149
53,9,168
54,9,149
68,7,151
69,7,138
71,8,152
72,8,138
74,9,153
75,9,142
89,7,152
90,7,137
92,8,152
93,8,146
95,9,156
96,9,139
110,7,151
111,7,143
113,8,153
114,8,143
116,9,151
117,9,147
131,7,155
132,7,146
134,8,156
135,8,142
137,9,157
138,9,147
152,7,136
153,7,126
155,8,138
156,8,125
158,9,141
159,9,124
173,7,144
174,7,134
176,8,144
177,8,137
179,9,143
180,9,133
194,7,142
195,7,134
197,8,145
198,8,136
200,9,148
201,9,134
215,7,158
216,7,143
218,8,159
219,8,145
221,9,160
222,9,144
236,7,167
237,7,156
239,8,169
240,8,155
242,9,166
243,9,153
257,7,162
258,7,152
260,8,164
261,8,150
263,9,158
264,9,145
278,7,152
279,7,136
281,8,153
282,8,138
284,9,156
285,9,140
299,7,170
300,7,162
302,8,171
303,8,164
305,9,171
306,9,164
320,7,132
321,7,114
323,8,132
324,8,117
326,9,133
327,9,114
341,7,145
342,7,139
344,8,144
345,8,133
347,9,144
348,9,134
362,7,143
363,7,136
365,8,144
366,8,137
368,9,145
369,9,138
383,7,146
384,7,136
386,8,146
387,8,134
389,9,149
390,9,135
404,7,141
405,7,135
407,8,144
408,8,132
410,9,145
411,9,137
17,1,153
18,1,133
20,2,153
21,2,131
422,3,147
423,3,129
38,1,111
39,1,99
41,2,111
42,2,99
425,3,115
426,3,100
59,1,169
60,1,147
62,2,169
63,2,147
428,3,169
429,3,147
80,1,154
81,1,140
83,2,153
84,2,133
431,3,147
432,3,133
101,1,156
102,1,136
104,2,156
105,2,136
434,3,156
435,3,138
122,1,160
123,1,144
125,2,163
126,2,145
437,3,163
438,3,145
143,1,160
144,1,145
146,2,163
147,2,145
440,3,163
441,3,145
164,1,144
165,1,129
167,2,145
168,2,131
443,3,136
444,3,124
185,1,144
186,1,129
188,2,145
189,2,129
446,3,136
447,3,126
206,1,147
207,1,133
209,2,151
210,2,133
449,3,142
450,3,129
269,1,163
270,1,145
272,2,163
273,2,147
458,3,165
459,3,147
290,1,153
291,1,136
293,2,154
294,2,136
461,3,151
462,3,136
311,1,172
312,1,162
314,2,172
315,2,162
464,3,172
465,3,162
332,1,129
333,1,117
335,2,127
336,2,115
467,3,133
468,3,120
353,1,151
354,1,138
356,2,136
357,2,126
470,3,133
471,3,124
374,1,149
375,1,135
377,2,144
378,2,124
473,3,136
474,3,124
395,1,147
396,1,135
398,2,142
399,2,127
476,3,135
477,3,124
416,1,151
417,1,135
419,2,138
420,2,122
479,3,135
480,3,122
8,4,160
9,4,133
11,5,156
12,5,127
14,6,160
15,6,131
29,4,111
30,4,90
32,5,109
33,5,93
35,6,111
36,6,93
50,4,171
51,4,147
53,5,171
54,5,145
56,6,169
57,6,144
71,4,160
72,4,140
74,5,156
75,5,138
77,6,156
78,6,144
92,4,158
93,4,144
95,5,153
96,5,136
98,6,153
99,6,129
113,4,158
114,4,144
116,5,156
117,5,144
119,6,158
120,6,145
134,4,160
135,4,144
137,5,158
138,5,138
140,6,160
141,6,140
155,4,140
156,4,126
158,5,144
159,5,124
161,6,142
162,6,117
176,4,144
177,4,131
179,5,145
180,5,126
182,6,142
183,6,127
197,4,149
198,4,133
200,5,147
201,5,131
203,6,147
204,6,129
218,4,162
219,4,142
221,5,162
222,5,138
224,6,160
225,6,138
239,4,169
240,4,153
242,5,169
243,5,149
245,6,167
246,6,147
260,4,163
261,4,147
263,5,160
264,5,144
266,6,160
267,6,138
281,4,154
282,4,129
284,5,154
285,5,126
287,6,153
288,6,127
302,4,169
303,4,162
305,5,169
306,5,158
308,6,167
309,6,158
323,4,140
324,4,113
326,5,140
327,5,111
329,6,124
330,6,104
344,4,149
345,4,129
347,5,149
348,5,135
350,6,151
351,6,127
365,4,154
366,4,126
368,5,151
369,5,133
371,6,154
372,6,140
386,4,147
387,4,135
389,5,149
390,5,124
392,6,151
393,6,131
407,4,147
408,4,122
410,5,153
411,5,127
413,6,153
414,6,126
8,7,155
9,7,136
11,8,153
12,8,131
14,9,154
15,9,133
29,7,106
30,7,99
32,8,107
33,8,95
35,9,106
36,9,97
50,7,167
51,7,145
53,8,169
54,8,152
56,9,168
57,9,151
71,7,160
72,7,139
74,8,157
75,8,137
77,9,155
78,9,139
92,7,152
93,7,142
95,8,154
96,8,141
98,9,154
99,9,139
113,7,154
114,7,144
116,8,155
117,8,148
119,9,154
120,9,145
134,7,159
135,7,147
137,8,160
138,8,148
140,9,161
141,9,143
155,7,136
156,7,127
158,8,138
159,8,124
161,9,138
162,9,128
176,7,143
177,7,131
179,8,142
180,8,130
182,9,144
183,9,134
197,7,142
198,7,131
200,8,145
201,8,132
203,9,147
204,9,133
218,7,161
219,7,144
221,8,159
222,8,143
224,9,157
225,9,143
239,7,166
240,7,156
242,8,166
243,8,153
245,9,163
246,9,155
260,7,163
261,7,148
263,8,161
264,8,144
266,9,159
267,9,145
281,7,154
282,7,137
284,8,156
285,8,138
287,9,157
288,9,136
302,7,171
303,7,161
305,8,170
306,8,164
308,9,173
309,9,162
323,7,141
324,7,114
326,8,136
327,8,117
329,9,132
330,9,113
344,7,144
345,7,129
347,8,146
348,8,132
350,9,146
351,9,143
365,7,148
366,7,131
368,8,148
369,8,136
371,9,150
372,9,144
386,7,144
387,7,134
389,8,145
390,8,132
392,9,145
393,9,136
407,7,147
408,7,130
410,8,147
411,8,136
413,9,148
414,9,144
20,1,151
21,1,127
422,2,142
423,2,122
482,3,147
483,3,129
41,1,109
42,1,102
425,2,113
426,2,102
485,3,109
486,3,102
62,1,172
63,1,147
428,2,171
429,2,145
488,3,167
489,3,147
83,1,153
84,1,127
431,2,145
432,2,129
491,3,147
492,3,136
104,1,154
105,1,136
434,2,154
435,2,142
494,3,153
495,3,138
125,1,163
126,1,145
437,2,163
438,2,145
497,3,160
498,3,145
146,1,163
147,1,145
440,2,163
441,2,145
500,3,160
501,3,144
167,1,144
168,1,131
443,2,136
444,2,122
503,3,131
504,3,120
188,1,145
189,1,129
446,2,138
447,2,124
506,3,136
507,3,126
209,1,147
210,1,131
449,2,138
450,2,126
509,3,135
510,3,126
230,1,158
231,1,142
452,2,154
453,2,138
512,3,154
513,3,142
251,1,162
252,1,149
455,2,162
456,2,151
515,3,163
516,3,156
272,1,162
273,1,145
458,2,162
459,2,144
518,3,162
519,3,147
293,1,154
294,1,135
461,2,145
462,2,129
521,3,147
522,3,133
314,1,172
315,1,160
464,2,172
465,2,162
524,3,172
525,3,162
335,1,127
336,1,115
467,2,129
468,2,115
527,3,120
528,3,111
356,1,135
357,1,122
470,2,127
471,2,122
530,3,135
531,3,126
377,1,142
378,1,124
473,2,133
474,2,126
533,3,136
534,3,133
398,1,142
399,1,122
476,2,127
477,2,120
536,3,133
537,3,126
419,1,133
420,1,118
479,2,129
480,2,120
539,3,136
540,3,127
11,4,160
12,4,129
14,5,162
15,5,133
17,6,154
18,6,124
32,4,108
33,4,97
35,5,111
36,5,95
38,6,111
39,6,100
53,4,172
54,4,147
56,5,169
57,5,147
59,6,172
60,6,145
74,4,154
75,4,140
77,5,158
78,5,142
80,6,149
81,6,127
95,4,153
96,4,135
98,5,153
99,5,131
101,6,154
102,6,131
116,4,160
117,4,142
119,5,162
120,5,145
122,6,165
123,6,145
137,4,156
138,4,140
140,5,160
141,5,142
143,6,165
144,6,140
158,4,140
159,4,120
161,5,142
162,5,118
164,6,144
165,6,127
179,4,144
180,4,127
182,5,145
183,5,124
185,6,145
186,6,126
200,4,145
201,4,131
203,5,147
204,5,127
206,6,151
207,6,131
221,4,162
222,4,140
224,5,160
225,5,140
227,6,160
228,6,138
242,4,169
243,4,151
245,5,169
246,5,145
248,6,167
249,6,147
263,4,162
264,4,144
266,5,160
267,5,142
269,6,162
270,6,140
284,4,154
285,4,127
287,5,156
288,5,129
290,6,153
291,6,127
305,4,167
306,4,158
308,5,169
309,5,160
311,6,169
312,6,158
326,4,138
327,4,106
329,5,131
330,5,108
332,6,131
333,6,108
347,4,149
348,4,133
350,5,153
351,5,127
353,6,138
354,6,120
368,4,154
369,4,135
371,5,154
372,5,135
