question,truth
2,130.0
3,90.0
23,81.5
24,72.0
44,139.0
45,109.0
65,124.0
66,94.0
86,123.0
87,107.4
107,130.0
108,118.6
128,129.0
129,119.0
149,110.2
150,84.3
170,114.0
171,96.0
191,114.0
192,101.0
212,130.0
213,106.0
233,141.5
234,127.2
254,132.0
255,121.1
275,124.0
276,99.0
296,146.0
297,130.0
317,112.0
318,91.0
338,119.0
339,90.0
359,121.0
360,87.7
380,124.0
381,90.0
401,119.0
402,87.0
5,130.5
6,92.0
26,82.0
27,67.0
47,139.0
48,112.0
68,124.2
69,103.0
89,128.4
110,130.0
111,112.0
131,130.0
132,112.0
152,108.0
153,87.5
173,110.5
174,99.0
194,115.4
195,106.0
215,133.0
216,111.6
236,139.7
237,123.0
257,123.0
258,115.0
278,121.0
279,97.0
299,147.8
300,124.0
320,114.0
321,83.0
341,119.0
342,90.0
362,116.5
363,97.8
383,122.0
384,93.4
404,115.0
405,99.0
8,130.9
9,99.0
29,77.8
30,61.0
50,142.0
51,108.0
71,133.0
72,106.0
92,128.9
93,113.5
113,132.0
114,111.3
134,132.0
135,111.0
155,108.2
156,84.1
176,112.1
177,101.0
197,117.0
198,105.0
218,132.0
219,106.0
239,130.0
240,121.0
260,132.0
261,115.0
281,128.0
282,107.0
302,142.2
303,129.4
323,112.0
324,80.0
344,117.0
345,108.0
365,131.4
366,106.0
386,119.0
387,102.0
407,121.0
408,97.0
11,133.4
12,99.0
32,74.0
33,60.0
53,143.4
54,109.0
74,130.0
75,105.0
95,126.0
96,115.0
116,128.0
117,110.8
137,129.0
138,112.0
158,112.0
159,91.2
179,115.0
180,94.0
200,117.0
201,99.0
221,135.0
222,106.0
242,138.7
243,121.0
263,133.0
264,115.0
284,130.0
285,99.0
305,144.4
306,124.0
326,117.0
327,86.0
347,119.0
348,97.0
368,119.0
369,101.7
389,123.0
390,97.0
410,123.0
411,96.0
14,135.7
15,94.0
35,76.3
36,61.0
56,141.0
57,108.0
77,130.0
78,103.0
98,124.3
99,106.0
119,132.0
120,113.0
140,133.0
141,112.0
161,114.0
162,86.7
182,116.5
183,90.0
203,119.0
204,96.0
224,135.0
225,112.0
245,137.9
246,117.0
266,130.0
267,113.0
287,130.0
288,97.0
308,143.8
309,128.0
329,110.0
330,78.0
350,124.0
351,103.0
371,126.0
372,106.4
392,123.0
393,94.0
413,123.0
414,108.0
17,119.7
18,97.0
38,82.8
39,63.0
59,145.5
60,104.0
80,124.0
81,109.6
101,125.4
102,99.0
122,135.0
123,108.0
143,140.0
144,108.0
164,117.2
165,88.0
185,120.2
186,93.5
206,121.0
207,97.0
227,136.8
228,114.0
248,141.3
249,116.9
269,132.0
270,106.0
290,132.0
291,97.0
311,146.5
312,126.0
332,106.0
333,72.0
353,119.0
354,87.0
374,123.0
375,92.2
395,119.0
396,93.0
416,119.0
417,88.0
20,112.2
21,88.0
41,82.2
42,63.0
62,144.0
63,115.0
83,117.0
84,90.0
104,126.4
105,99.0
125,144.0
126,109.3
146,145.0
147,110.0
167,113.8
168,95.8
188,112.4
189,99.0
209,118.4
210,97.0
230,124.0
231,106.0
251,137.8
252,112.9
272,132.4
273,112.0
293,121.0
294,96.7
314,144.7
315,123.0
335,112.0
336,80.0
356,94.0
357,84.9
377,97.4
378,81.7
398,94.0
399,85.0
419,92.0
420,79.0
422,124.4
423,85.0
425,79.0
426,63.0
428,142.5
429,107.0
431,123.0
432,88.0
434,126.5
435,97.0
437,130.0
438,112.0
440,134.0
441,112.0
443,100.3
444,87.3
446,101.0
447,92.0
449,103.0
450,94.9
452,121.9
453,96.0
455,140.0
456,114.9
458,130.0
459,106.0
461,121.0
462,88.0
464,144.0
465,126.0
467,108.0
468,86.0
470,106.0
471,88.0
473,113.4
474,91.1
476,106.0
477,85.0
479,103.0
480,87.0
482,127.5
483,92.0
485,76.8
486,61.0
488,141.2
489,107.0
491,119.0
492,103.0
494,124.6
495,99.0
497,130.0
498,117.0
500,130.0
501,117.0
503,106.0
504,90.0
506,112.0
507,86.6
509,115.6
510,94.0
512,128.7
513,104.8
515,139.6
516,117.7
518,137.0
519,108.0
521,126.0
522,88.0
524,141.0
525,126.9
527,105.0
528,77.0
530,99.0
531,87.0
533,106.0
534,88.0
536,111.0
537,90.0
539,98.0
540,88.9
542,123.0
543,101.0
545,76.8
546,58.0
548,142.0
549,105.0
551,115.0
552,97.0
554,124.0
555,99.0
557,130.0
558,111.0
560,130.0
561,112.0
563,99.0
564,86.0
566,106.0
567,93.2
569,107.2
570,99.0
572,126.0
573,119.5
575,141.0
576,127.4
578,139.0
579,115.0
581,121.0
582,108.0
584,141.0
585,128.0
587,108.0
588,74.0
590,132.0
591,79.0
593,100.0
594,79.0
596,102.0
597,86.0
599,94.0
600,72.0
602,119.2
603,94.0
605,76.9
606,58.0
608,141.7
609,109.0
611,115.2
612,90.0
614,121.0
615,108.0
617,127.0
618,115.0
620,127.0
621,115.0
623,103.0
624,91.5
626,103.6
627,93.9
629,108.0
630,97.0
632,123.0
633,108.0
635,142.2
636,125.0
638,130.0
639,120.0
641,119.0
642,95.0
644,146.4
645,123.0
647,111.0
648,81.0
650,106.0
651,88.0
653,112.0
654,87.0
656,105.0
657,83.0
659,107.0
660,79.0
662,126.4
663,87.0
665,77.1
666,54.0
668,139.0
669,108.0
671,123.0
672,92.0
674,123.0
675,113.5
677,125.0
678,117.0
680,125.0
681,117.0
683,105.0
684,83.3
686,107.8
687,86.3
689,110.0
690,94.0
692,124.2
693,104.1
695,139.0
696,121.9
698,135.0
699,114.0
701,121.0
702,88.0
704,140.4
705,123.0
707,115.0
708,90.0
710,112.0
711,88.0
713,117.0
714,90.0
716,110.0
717,84.0
719,115.0
720,88.0
722,129.6
723,90.0
725,84.8
726,54.0
728,136.3
729,108.0
731,126.0
732,96.0
734,121.4
735,118.2
737,124.4
738,121.0
740,124.0
741,120.0
743,101.0
744,87.9
746,111.7
747,87.0
749,114.0
750,94.0
752,130.0
753,110.0
755,139.0
756,129.3
758,136.0
759,115.0
761,124.0
762,94.0
764,143.3
765,123.0
767,114.0
768,87.0
770,254.0
771,98.0
773,123.0
774,100.6
776,119.0
777,92.0
779,114.0
780,88.0
782,134.1
783,96.0
785,87.0
786,59.0
788,135.6
789,108.0
791,135.0
792,114.0
794,125.6
795,115.0
797,126.0
798,118.6
800,127.0
801,119.0
803,94.0
804,88.7
806,116.7
807,92.0
809,112.0
810,97.0
812,133.6
813,116.3
815,139.0
816,129.9
818,135.0
819,115.0
821,128.0
822,97.0
824,147.1
825,123.0
827,114.0
828,93.0
830,121.0
831,99.0
833,126.0
834,99.6
836,125.0
837,93.0
839,119.0
840,88.0
842,132.9
843,105.0
845,76.1
846,54.0
848,138.6
849,108.0
851,133.0
852,122.4
854,124.7
855,115.0
857,126.0
858,119.3
860,126.0
861,119.6
863,108.0
864,90.0
866,121.0
867,99.0
869,116.5
870,97.0
872,133.9
873,114.0
875,141.0
876,130.4
878,139.0
879,118.0
881,132.0
882,103.0
884,145.1
885,128.0
887,115.0
888,87.0
890,124.0
891,112.0
893,135.0
894,116.1
896,122.0
897,115.0
899,121.0
900,108.0
902,136.8
903,103.0
905,75.6
906,54.0
908,136.6
909,110.0
911,135.0
912,121.3
914,123.0
915,99.0
917,128.0
918,120.0
920,129.0
921,119.0
923,117.0
924,98.6
926,128.7
927,108.0
929,130.0
930,106.0
932,135.7
933,117.0
935,139.3
936,130.0
938,137.5
939,123.0
941,132.0
942,101.0
944,144.7
945,132.0
947,112.0
948,80.0
950,132.0
951,102.0
953,133.0
954,113.4
956,130.0
957,114.0
959,130.0
960,103.0
962,132.0
963,112.0
965,74.0
966,63.0
968,137.7
969,109.0
971,132.0
972,117.7
974,120.6
975,112.0
977,126.0
978,114.8
980,127.0
981,115.0
983,108.0
984,90.0
986,132.0
987,108.0
989,131.3
990,108.0
992,145.8
993,120.3
995,138.7
996,126.0
998,139.0
999,115.0
1001,132.0
1002,103.0
1004,146.7
1005,124.0
1007,103.0
1008,76.0
1010,130.0
1011,109.0
1013,126.0
1014,107.4
1016,127.0
1017,105.0
1019,128.0
1020,97.0
1022,128.0
1023,112.0
1025,65.0
1026,49.0
1028,141.0
1029,107.0
1031,123.0
1032,105.1
1034,119.1
1035,113.2
1037,126.0
1038,110.0
1040,127.0
1041,110.0
1043,117.0
1044,97.9
1046,121.8
1047,108.0
1049,125.6
1050,110.0
1052,135.9
1053,119.0
1055,139.0
1056,130.0
1058,136.0
1059,117.0
1061,128.0
1062,112.0
1064,142.6
1065,128.0
1067,106.0
1068,87.0
1070,114.0
1071,90.0
1073,110.0
1074,92.0
1076,110.0
1077,95.0
1079,109.0
1080,87.0
1082,132.1
1083,105.0
1085,65.7
1086,50.0
1088,141.0
1089,107.0
1091,124.0
1092,112.9
1094,119.4
1095,113.3
1097,126.0
1098,115.8
1100,128.0
1101,117.0
1103,101.0
1104,87.0
1106,108.0
1107,87.0
1109,114.0
1110,94.1
1112,135.6
1113,117.0
1115,141.9
1116,127.4
1118,139.0
1119,122.0
1121,124.0
1122,115.0
1124,144.2
1125,123.0
1127,105.0
1128,89.0
1130,106.2
1131,92.0
1133,114.0
1134,94.7
1136,109.0
1137,88.0
1139,112.0
1140,94.0
1142,128.0
1143,112.0
1145,65.5
1146,54.0
1148,135.1
1149,106.0
1151,123.0
1152,115.0
1154,123.1
1155,99.0
1157,126.0
1158,112.0
1160,129.0
1161,111.0
1163,101.2
1164,81.6
1166,108.5
1167,89.1
1169,111.3
1170,97.0
1172,130.0
1173,121.0
1175,140.0
1176,127.3
1178,137.0
1179,123.0
1181,124.0
1182,107.2
1184,148.2
1185,129.6
1187,103.0
1188,85.0
1190,108.0
1191,101.0
1193,112.0
1194,104.2
1196,110.0
1197,103.0
1199,106.0
1200,99.0
1202,133.2
1203,112.0
1205,76.6
1206,58.0
1208,134.2
1209,106.0
1211,128.0
1212,115.0
1214,121.0
1215,103.0
1217,124.0
1218,110.0
1220,127.0
1221,108.0
1223,105.0
1224,101.0
1226,114.0
1227,108.0
1229,114.3
1230,108.0
1232,135.4
1233,124.0
1235,141.4
1236,132.0
1238,141.0
1239,122.0
1241,128.0
1242,110.0
1244,142.9
1245,126.0
1247,99.0
1248,78.0
1250,105.0
1251,98.5
1253,110.0
1254,100.8
1256,111.0
1257,104.0
1259,101.2
1260,92.9
1262,133.9
1263,119.7
1265,87.0
1266,76.0
1268,132.0
1269,101.0
1271,132.0
1272,119.7
1274,123.0
1275,97.0
1277,128.0
1278,114.3
1280,130.0
1281,115.0
1283,106.0
1284,92.0
1286,112.0
1287,106.0
1289,114.0
1290,107.9
1292,136.5
1293,117.0
1295,143.5
1296,131.4
1298,141.6
1299,126.0
1301,130.0
1302,114.0
1304,142.0
1305,130.0
1307,88.0
1308,60.0
1310,103.0
1311,97.0
1313,110.0
1314,99.0
1316,115.0
1317,101.0
1319,99.0
1320,95.6
1322,127.8
1323,103.0
1325,89.0
1326,84.0
1328,130.0
1329,105.0
1331,128.0
1332,97.0
1334,123.0
1335,99.0
1337,133.0
1338,108.0
1340,134.0
1341,109.0
1343,115.0
1344,99.0
1346,126.0
1347,106.0
1349,124.3
1350,108.0
1352,139.0
1353,127.5
1355,143.8
1356,132.0
1358,141.0
1359,124.0
1361,128.0
1362,114.0
1364,144.0
1365,129.4
1367,90.0
1368,67.0
1370,103.0
1371,90.0
1373,106.0
1374,86.7
1376,115.0
1377,90.0
1379,99.0
1380,83.5
1382,108.0
1383,92.0
1385,88.0
1386,76.0
1388,128.6
1389,97.0
1391,105.0
1392,87.0
1394,121.9
1395,97.0
1397,132.0
1398,108.0
1400,133.0
1401,108.0
1403,115.0
1404,96.9
1406,123.0
1407,105.0
1409,123.0
1410,106.0
1412,130.0
1413,105.0
1415,145.8
1416,132.0
1418,141.3
1419,128.0
1421,121.0
1422,96.0
1424,143.8
1425,131.6
1427,101.0
1428,69.0
1430,96.0
1431,85.0
1433,99.0
1434,80.3
1436,97.0
1437,88.0
1439,98.3
1440,78.0
1442,111.6
1443,90.0
1445,88.0
1446,81.0
1448,132.0
1449,97.0
1451,112.0
1452,87.0
1454,121.0
1455,106.0
1457,126.0
1458,113.3
1460,130.0
1461,115.0
